Sample,K,Runtime(s)
Patient22_SIGAG9_NG,3,0.4538
Patient22_SIGAG9_NG,4,0.2849
Patient22_SIGAG9_NG,5,0.2816
Patient22_SIGAG9_NG,6,0.2870
Patient22_SIGAG9_NG,7,0.2784
Patient22_SIGAG9_NG,8,0.2929
Patient22_SIGAG9_NG,9,0.2420
Patient22_SIGAG9_NG,10,0.2715
Patient22_SIGAG9_NG,11,0.2608
Patient22_SIGAG9_NG,12,0.2451
Patient22_SIGAG9_NG,13,0.2862
Patient22_SIGAG9_NG,14,0.2493
Patient22_SIGAG9_NG,15,0.2622
Patient22_SIGAG9_NG,16,0.2688
Patient22_SIGAG9_NG,17,0.2466
Patient22_SIGAG9_NG,18,0.2678
Patient22_SIGAG9_NG,19,0.2790
Patient22_SIGAG9_NG,20,0.2922
P6342_normal,3,0.2215
P6342_normal,4,0.2253
P6342_normal,5,0.2220
P6342_normal,6,0.2520
P6342_normal,7,0.2597
P6342_normal,8,0.2491
P6342_normal,9,0.2475
P6342_normal,10,0.2218
P6342_normal,11,0.2203
P6342_normal,12,0.2312
P6342_normal,13,0.2431
P6342_normal,14,0.2367
P6342_normal,15,0.2436
P6342_normal,16,0.2525
P6342_normal,17,0.2251
P6342_normal,18,0.2344
P6342_normal,19,0.2321
P6342_normal,20,0.2554
Patient19_SIGAB3_BE,3,0.2322
Patient19_SIGAB3_BE,4,0.2202
Patient19_SIGAB3_BE,5,0.2211
Patient19_SIGAB3_BE,6,0.2274
Patient19_SIGAB3_BE,7,0.2691
Patient19_SIGAB3_BE,8,0.2207
Patient19_SIGAB3_BE,9,0.2334
Patient19_SIGAB3_BE,10,0.2305
Patient19_SIGAB3_BE,11,0.2362
Patient19_SIGAB3_BE,12,0.2392
Patient19_SIGAB3_BE,13,0.2514
Patient19_SIGAB3_BE,14,0.2274
Patient19_SIGAB3_BE,15,0.2238
Patient19_SIGAB3_BE,16,0.2362
Patient19_SIGAB3_BE,17,0.2663
Patient19_SIGAB3_BE,18,0.2574
Patient19_SIGAB3_BE,19,0.2342
Patient19_SIGAB3_BE,20,0.2352
P6709_normal,3,0.2675
P6709_normal,4,0.2824
P6709_normal,5,0.2841
P6709_normal,6,0.2540
P6709_normal,7,0.2599
P6709_normal,8,0.2226
P6709_normal,9,0.2314
P6709_normal,10,0.2291
P6709_normal,11,0.2223
P6709_normal,12,0.2182
P6709_normal,13,0.2180
P6709_normal,14,0.2227
P6709_normal,15,0.2424
P6709_normal,16,0.2377
P6709_normal,17,0.2338
P6709_normal,18,0.2359
P6709_normal,19,0.2201
P6709_normal,20,0.2261
Patient17_SIGAH7_NG,3,0.2333
Patient17_SIGAH7_NG,4,0.2315
Patient17_SIGAH7_NG,5,0.2306
Patient17_SIGAH7_NG,6,0.2317
Patient17_SIGAH7_NG,7,0.2392
Patient17_SIGAH7_NG,8,0.2336
Patient17_SIGAH7_NG,9,0.2315
Patient17_SIGAH7_NG,10,0.2499
Patient17_SIGAH7_NG,11,0.2341
Patient17_SIGAH7_NG,12,0.2748
Patient17_SIGAH7_NG,13,0.2460
Patient17_SIGAH7_NG,14,0.2732
Patient17_SIGAH7_NG,15,0.2568
Patient17_SIGAH7_NG,16,0.2760
Patient17_SIGAH7_NG,17,0.2463
Patient17_SIGAH7_NG,18,0.2447
Patient17_SIGAH7_NG,19,0.2586
Patient17_SIGAH7_NG,20,0.2456
Patient14_SIGAF8_NG,3,0.2925
Patient14_SIGAF8_NG,4,0.2846
Patient14_SIGAF8_NG,5,0.2822
Patient14_SIGAF8_NG,6,0.2941
Patient14_SIGAF8_NG,7,0.2912
Patient14_SIGAF8_NG,8,0.2746
Patient14_SIGAF8_NG,9,0.2915
Patient14_SIGAF8_NG,10,0.2980
Patient14_SIGAF8_NG,11,0.2879
Patient14_SIGAF8_NG,12,0.2941
Patient14_SIGAF8_NG,13,0.2932
Patient14_SIGAF8_NG,14,0.3026
Patient14_SIGAF8_NG,15,0.3061
Patient14_SIGAF8_NG,16,0.3074
Patient14_SIGAF8_NG,17,0.3195
Patient14_SIGAF8_NG,18,0.3252
Patient14_SIGAF8_NG,19,0.3260
Patient14_SIGAF8_NG,20,0.3267
Patient22_SIGAE9_GIM,3,0.2236
Patient22_SIGAE9_GIM,4,0.2242
Patient22_SIGAE9_GIM,5,0.2218
Patient22_SIGAE9_GIM,6,0.2194
Patient22_SIGAE9_GIM,7,0.2241
Patient22_SIGAE9_GIM,8,0.2348
Patient22_SIGAE9_GIM,9,0.2256
Patient22_SIGAE9_GIM,10,0.2540
Patient22_SIGAE9_GIM,11,0.2311
Patient22_SIGAE9_GIM,12,0.2602
Patient22_SIGAE9_GIM,13,0.2414
Patient22_SIGAE9_GIM,14,0.2381
Patient22_SIGAE9_GIM,15,0.2367
Patient22_SIGAE9_GIM,16,0.2212
